城市,日期,累计确诊,累计治愈,现存确诊,累计死亡,现存无症状
北京,06.14,673,584,80,9,7
北京,06.13,637,584,44,9,1
北京,06.12,601,584,8,9,0
北京,06.11,595,584,2,9,0
北京,06.10,594,584,1,9,0
北京,06.09,594,584,1,9,0
北京,06.08,594,584,1,9,0
北京,06.07,594,583,2,9,0
北京,06.06,594,583,2,9,0
北京,06.05,594,583,2,9,0
北京,06.04,594,583,2,9,0
北京,06.03,594,583,2,9,0
北京,06.02,594,582,3,9,0
北京,06.01,593,581,3,9,0
北京,05.31,593,581,3,9,0
北京,05.30,593,581,3,9,0
北京,05.29,593,581,3,9,0
北京,05.28,593,581,3,9,0
北京,05.27,593,581,3,9,0
北京,05.26,593,581,3,9,0
北京,05.25,593,581,3,9,0
北京,05.24,593,581,3,9,0
北京,05.23,593,581,3,9,0
北京,05.22,593,579,5,9,0
北京,05.21,593,579,5,9,0
北京,05.20,593,579,5,9,0
北京,05.19,593,578,6,9,0
北京,05.18,593,578,6,9,0
北京,05.17,593,578,6,9,0
北京,05.16,593,577,7,9,0
北京,05.15,593,576,8,9,0
北京,05.14,593,574,10,9,0
北京,05.13,593,574,10,9,0
北京,05.12,593,573,11,9,0
北京,05.11,593,571,13,9,0
北京,05.10,593,568,16,9,0
北京,05.09,593,565,19,9,0
北京,05.08,593,563,21,9,0
北京,05.07,593,560,24,9,0
北京,05.06,593,557,27,9,0
北京,05.05,593,555,29,9,0
北京,05.04,593,554,30,9,0
北京,05.03,593,553,31,9,0
北京,05.02,593,551,33,9,0
北京,05.01,593,547,37,9,0
北京,04.30,593,547,37,9,0
北京,04.29,593,542,42,9,0
北京,04.28,593,538,46,9,0
北京,04.27,593,536,48,9,0
北京,04.26,593,525,59,9,0
北京,04.25,593,525,60,8,0
北京,04.24,593,525,60,8,0
北京,04.23,593,524,61,8,0
北京,04.22,593,522,63,8,0
北京,04.21,593,518,67,8,0
北京,04.20,593,516,69,8,0
北京,04.19,593,514,71,8,0
北京,04.18,593,510,75,8,0
北京,04.17,593,509,76,8,0
北京,04.16,593,509,76,8,0
北京,04.15,593,503,82,8,0
北京,04.14,590,491,91,8,0
北京,04.13,589,491,90,8,0
北京,04.12,589,484,97,8,0
北京,04.11,589,479,102,8,0
北京,04.10,589,474,107,8,0
北京,04.09,588,469,111,8,0
北京,04.08,588,464,116,8,0
北京,04.07,588,455,125,8,0
北京,04.06,587,448,131,8,0
北京,04.05,587,443,136,8,0
北京,04.04,586,441,137,8,0
北京,04.03,585,438,139,8,0
北京,04.02,583,434,141,8,0
北京,04.01,582,424,150,8,0
北京,03.31,580,418,154,8,0
北京,03.30,580,416,156,8,0
北京,03.29,577,412,157,8,0
北京,03.28,576,411,157,8,0
北京,03.27,572,409,155,8,0
北京,03.26,569,406,155,8,0
北京,03.25,565,403,154,8,0
北京,03.24,559,401,150,8,0
北京,03.23,554,401,145,8,0
北京,03.22,522,400,114,8,0
北京,03.21,512,398,106,8,0
北京,03.20,499,392,99,8,0
北京,03.19,485,384,93,8,0
北京,03.18,479,379,92,8,0
北京,03.17,458,373,77,8,0
北京,03.16,455,368,79,8,0
北京,03.15,446,358,80,8,0
北京,03.14,442,353,81,8,0
北京,03.13,437,349,80,8,0
北京,03.12,436,342,86,8,0
北京,03.11,435,334,93,8,0
北京,03.10,435,326,101,8,0
北京,03.09,429,320,101,8,0
北京,03.08,428,315,105,8,0
北京,03.07,428,308,112,8,0
北京,03.06,426,303,115,8,0
北京,03.05,422,298,116,8,0
北京,03.04,418,297,113,8,0
北京,03.03,417,294,115,8,0
北京,03.02,414,288,118,8,0
北京,03.01,414,282,124,8,0
北京,02.29,413,276,129,8,0
北京,02.28,411,271,132,8,0
北京,02.27,410,257,146,7,0
北京,02.26,410,248,157,5,0
北京,02.25,400,235,161,4,0
北京,02.24,400,215,181,4,0
北京,02.23,399,198,197,4,0
北京,02.22,399,189,206,4,0
北京,02.21,399,178,217,4,0
北京,02.20,396,169,223,4,0
北京,02.19,395,153,238,4,0
北京,02.18,393,145,244,4,0
北京,02.17,387,122,261,4,0
北京,02.16,381,114,263,4,0
北京,02.15,380,105,271,4,0
北京,02.14,375,97,274,4,0
北京,02.13,372,79,290,3,0
北京,02.12,366,68,295,3,0
北京,02.11,352,56,293,3,0
北京,02.10,342,48,291,3,0
北京,02.09,337,44,291,2,0
北京,02.08,326,37,287,2,0
北京,02.07,315,34,279,2,0
北京,02.06,297,33,263,1,0
北京,02.05,274,31,242,1,0
北京,02.04,253,24,228,1,0
北京,02.03,228,23,204,1,0
北京,02.02,212,12,199,1,0
北京,02.01,183,9,173,1,0
北京,01.31,156,5,150,1,0
北京,01.30,132,4,127,1,0
北京,01.29,111,4,106,1,0
北京,01.28,91,2,88,1,0
北京,01.27,80,2,77,1,0
北京,01.26,72,2,70,0,0
北京,01.25,51,2,49,,0
北京,01.24,36,1,35,,0
北京,01.23,26,,26,,0
北京,01.22,14,,14,,0
北京,01.21,10,,10,,0
北京,01.20,3,,3,,0
湖北,06.14,68135,63623,0,4512,6
湖北,06.13,68135,63623,0,4512,11
湖北,06.12,68135,63623,0,4512,9
湖北,06.11,68135,63623,0,4512,18
湖北,06.10,68135,63623,0,4512,42
湖北,06.09,68135,63623,0,4512,63
湖北,06.08,68135,63623,0,4512,84
