国家,日期,累计确诊,累计死亡,累计治愈
丹麦,06.15,12417,11290,598
丹麦,06.14,12393,11268,597
丹麦,06.13,12339,11235,597
丹麦,06.12,12299,11193,594
丹麦,06.11,12235,11155,593
丹麦,06.10,12216,11104,593
丹麦,06.09,12162,10992,593
丹麦,06.08,12162,10992,593
丹麦,06.07,12148,10955,589
丹麦,06.06,12124,10921,587
丹麦,06.05,12075,10853,586
丹麦,06.04,12011,10818,582
丹麦,06.03,11971,10750,580
丹麦,06.02,11934,10687,580
丹麦,06.01,11899,10610,576
丹麦,05.31,11869,10560,574
丹麦,05.30,11833,10525,571
丹麦,05.29,11793,10438,568
丹麦,05.28,11712,10378,568
丹麦,05.27,11679,10304,565
丹麦,05.26,11627,10242,563
丹麦,05.25,11586,10162,563
丹麦,05.24,11558,10098,562
丹麦,05.23,11487,10034,561
丹麦,05.22,11428,9962,561
丹麦,05.21,11380,9841,561
丹麦,05.20,11315,9734,554
丹麦,05.19,11242,9614,551
丹麦,05.18,11166,9425,547
丹麦,05.17,11125,9425,547
丹麦,05.16,11056,9305,543
丹麦,05.15,10911,9003,537
丹麦,05.14,10911,9003,537
丹麦,05.13,10865,8861,533
丹麦,05.12,10789,8526,533
丹麦,05.11,10711,8415,529
丹麦,05.10,10627,8415,529
丹麦,05.09,10517,8291,526
丹麦,05.08,10416,8124,522
丹麦,05.07,10281,7689,506
丹麦,05.06,10136,7689,506
丹麦,05.05,10019,7492,503
丹麦,05.04,9868,7284,493
丹麦,05.03,9721,7183,484
丹麦,05.02,9605,7084,475
丹麦,05.01,9509,6924,460
丹麦,04.30,9356,6741,452
丹麦,04.29,9206,6558,443
丹麦,04.28,9049,6313,434
丹麦,04.27,8896,6148,427
丹麦,04.26,8773,5994,422
丹麦,04.25,8643,5858,418
丹麦,04.24,8408,5715,403
丹麦,04.23,8271,5573,394
丹麦,04.22,8108,5276,384
丹麦,04.21,7891,4889,370
丹麦,04.20,7711,4499,364
丹麦,04.19,7580,4328,364
丹麦,04.18,7437,4031,364
丹麦,04.17,7268,3571,336
丹麦,04.16,7074,3203,321
丹麦,04.15,6876,2692,309
丹麦,04.14,6691,2689,299
丹麦,04.13,6513,2403,285
丹麦,04.12,6369,2291,273
丹麦,04.11,6191,2111,260
丹麦,04.10,6014,1929,247
丹麦,04.09,5830,1883,237
丹麦,04.08,5581,1762,218
丹麦,04.07,5173,1624,203
丹麦,04.06,4841,1488,187
丹麦,04.05,4269,1385,161
丹麦,04.04,3948,1289,139
丹麦,04.03,3861,1183,123
丹麦,04.02,3542,977,104
丹麦,04.01,3275,77,90
丹麦,03.31,2994,73,77
丹麦,03.30,2733,73,77
丹麦,03.29,2564,73,72
丹麦,03.28,2046,0,52
丹麦,03.27,1877,0,41
丹麦,03.26,1724,0,34
丹麦,03.25,1591,0,32
丹麦,03.24,1577,0,24
丹麦,03.23,1450,0,13
丹麦,03.22,1326,0,13
丹麦,03.21,1255,0,9
丹麦,03.20,1226,0,9
丹麦,03.19,1057,0,4
丹麦,03.18,977,0,4
丹麦,03.17,914,0,4
丹麦,03.16,898,0,3
丹麦,03.15,827,0,0
丹麦,03.14,827,0,0
丹麦,03.13,785,0,0
丹麦,03.12,615,0,0
丹麦,03.11,340,0,0
丹麦,03.10,156,0,0
丹麦,03.09,35,0,0
丹麦,03.08,27,0,0
丹麦,03.07,27,0,0
丹麦,03.06,20,0,0
丹麦,03.05,15,0,0
丹麦,03.04,10,0,0
丹麦,03.03,6,0,0
丹麦,03.02,4,0,0
丹麦,03.01,3,0,0
丹麦,02.29,3,0,0
丹麦,02.28,1,0,0
丹麦,02.27,1,0,0
以色列,06.15,19121,15389,302
以色列,06.14,19008,15360,300
以色列,06.13,18876,15319,300
以色列,06.12,18701,15288,300
以色列,06.11,18461,15214,300
以色列,06.10,18268,15168,299
以色列,06.09,18089,15137,298
以色列,06.08,17915,15102,298
以色列,06.07,17783,15064,297
以色列,06.06,17706,15042,297
以色列,06.05,17562,15026,297
以色列,06.04,17429,14993,291
以色列,06.03,17342,14955,290
以色列,06.02,17219,14915,287
以色列,06.01,17106,14826,285
以色列,05.31,17024,14812,284
以色列,05.30,17008,14776,284
以色列,05.29,16887,14727,284
以色列,05.28,16809,14602,281
以色列,05.27,16771,14486,281
以色列,05.26,16743,14362,281
以色列,05.25,16720,14203,280
以色列,05.24,16712,14093,279
以色列,05.23,16712,14085,279
以色列,05.22,16690,13915,279
以色列,05.21,16670,13617,279
以色列,05.20,16659,13435,278
以色列,05.19,16650,13299,277
以色列,05.18,16621,13014,272
以色列,05.17,16608,12884,271
以色列,05.16,16606,12820,267
以色列,05.15,16589,12587,266
以色列,05.14,16567,12364,264
以色列,05.13,16539,12173,262
以色列,05.12,16526,11956,258
以色列,05.11,16492,11548,254
以色列,05.10,16458,11384,248
以色列,05.09,16444,11313,245
以色列,05.08,16409,11007,245
以色列,05.07,16346,10737,239
以色列,05.06,16314,10527,238
以色列,05.05,16268,10223,237
以色列,05.04,16237,9858,234
以色列,05.03,16193,9634,230
以色列,05.02,16152,9400,227
以色列,05.01,16004,8758,223
以色列,04.30,15870,8412,219
以色列,04.29,15782,7929,212
以色列,04.28,15589,7375,208
以色列,04.27,15466,6796,202
以色列,04.26,15398,6602,199
以色列,04.25,15148,6159,198
以色列,04.24,14882,5685,193
以色列,04.23,14592,5334,191
以色列,04.22,14326,4961,187
以色列,04.21,13883,4353,181
以色列,04.20,13654,3872,173
以色列,04.19,13362,3564,171
以色列,04.18,13107,3247,158
以色列,04.17,12855,2967,148
以色列,04.16,12591,2624,140
以色列,04.15,12200,2309,126
以色列,04.14,11868,2001,117
以色列,04.13,11235,1689,110
以色列,04.12,10878,1388,103
以色列,04.11,10525,1258,96
以色列,04.10,10095,1061,93
以色列,04.09,9755,864,79
以色列,04.08,9404,801,72
以色列,04.07,9006,683,60
以色列,04.06,8611,585,51
以色列,04.05,8018,477,46
以色列,04.04,7589,427,42
以色列,04.03,7030,338,37
以色列,04.02,6360,289,33
以色列,04.01,5591,226,21
以色列,03.31,4831,163,17
以色列,03.30,4347,139,16
以色列,03.29,3865,89,13
以色列,03.28,3035,79,10
以色列,03.27,3035,79,10
以色列,03.26,2710,58,5
以色列,03.25,2710,58,5
以色列,03.24,1656,49,1
以色列,03.23,1238,15,1
以色列,03.22,945,15,1
以色列,03.21,883,15,1
以色列,03.20,705,14,0
以色列,03.19,529,4,0
以色列,03.18,443,4,0
以色列,03.17,298,4,0
以色列,03.16,344,4,0
以色列,03.15,195,1,0
以色列,03.14,154,1,0
以色列,03.13,126,1,0
以色列,03.12,100,1,0
以色列,03.11,76,1,0
以色列,03.10,50,1,0
以色列,03.09,39,1,0
以色列,03.08,25,1,0
以色列,03.07,21,1,0
以色列,03.06,17,1,0
以色列,03.05,15,1,0
以色列,03.04,15,1,0
以色列,03.03,12,1,0
以色列,03.02,10,1,0
以色列,03.01,10,1,0
以色列,02.29,9,1,0
以色列,02.28,8,1,0
以色列,02.27,7,1,0
以色列,02.26,6,1,0
以色列,02.25,6,0,0
以色列,02.24,6,0,0
以色列,02.23,1,0,0
以色列,02.22,1,0,0
以色列,02.21,1,0,0
伊拉克,06.15,21315,9271,652
伊拉克,06.14,18950,7515,549
伊拉克,06.13,17770,6868,496
伊拉克,06.12,16675,6568,457
伊拉克,06.11,15414,6214,426
伊拉克,06.10,15414,6214,426
伊拉克,06.09,14268,5831,392
伊拉克,06.08,13481,5572,370
伊拉克,06.07,12366,5186,346
伊拉克,06.06,9846,4573,285
伊拉克,06.05,9846,4573,285
伊拉克,06.04,8840,4338,271
伊拉克,06.03,7387,3508,235
伊拉克,06.02,6868,3275,215
伊拉克,06.01,6439,3156,205
伊拉克,05.31,6179,3110,195
伊拉克,05.30,5873,3044,185
伊拉克,05.29,5457,2971,179
伊拉克,05.28,5135,2904,175
伊拉克,05.27,4848,2852,169
伊拉克,05.26,4632,2811,163
伊拉克,05.25,4469,2738,160
伊拉克,05.24,4272,2585,152
伊拉克,05.23,3964,2532,147
伊拉克,05.22,3877,2483,140
伊拉克,05.21,3724,2438,134
伊拉克,05.20,3611,2366,131
伊拉克,05.19,3554,2310,127
伊拉克,05.18,3404,2218,123
伊拉克,05.17,3260,2126,121
伊拉克,05.16,3193,2089,117
伊拉克,05.15,3193,2089,117
伊拉克,05.14,3032,1966,115
伊拉克,05.13,2913,1903,112
伊拉克,05.12,2818,1790,110
伊拉克,05.11,2767,1734,109
伊拉克,05.10,2697,1702,107
伊拉克,05.09,2603,1661,104
伊拉克,05.08,2543,1626,102
伊拉克,05.07,2480,1602,102
伊拉克,05.06,2431,1571,102
伊拉克,05.05,2346,1544,98
伊拉克,05.04,2296,1490,97
伊拉克,05.03,2219,1473,95
伊拉克,05.02,2153,1414,94
伊拉克,05.01,2085,1375,93
伊拉克,04.30,2003,1346,92
伊拉克,04.29,1928,1319,90
伊拉克,04.28,1847,1286,88
伊拉克,04.27,1820,1263,87
伊拉克,04.26,1763,1224,86
伊拉克,04.25,1708,1204,86
伊拉克,04.24,1677,1171,83
伊拉克,04.23,1631,1146,83
伊拉克,04.22,1602,1096,83
伊拉克,04.21,1574,1043,82
伊拉克,04.20,1539,1009,82
伊拉克,04.19,1513,953,82
伊拉克,04.18,1482,906,81
伊拉克,04.17,1434,856,80
伊拉克,04.16,1415,812,79
伊拉克,04.15,1400,766,78
伊拉克,04.14,1378,717,78
伊拉克,04.13,1352,640,76
伊拉克,04.12,1318,601,72
伊拉克,04.11,1279,550,70
伊拉克,04.10,1232,496,69
伊拉克,04.09,1202,452,69
伊拉克,04.08,1122,373,65
伊拉克,04.07,1031,344,64
伊拉克,04.06,961,279,61
伊拉克,04.05,878,259,56
伊拉克,04.04,820,202,54
伊拉克,04.03,772,202,54
伊拉克,04.02,772,202,54
伊拉克,04.01,694,152,46
伊拉克,03.31,630,152,46
伊拉克,03.30,547,143,42
伊拉克,03.29,547,143,42
伊拉克,03.28,506,131,42
伊拉克,03.27,458,122,40
伊拉克,03.26,382,107,36
伊拉克,03.25,316,75,27
伊拉克,03.24,266,62,23
伊拉克,03.23,233,57,20
伊拉克,03.22,214,50,17
伊拉克,03.21,208,50,17
伊拉克,03.20,192,32,13
伊拉克,03.19,164,32,10
伊拉克,03.18,164,32,10
伊拉克,03.17,154,32,10
伊拉克,03.16,124,26,9
伊拉克,03.15,110,26,9
伊拉克,03.14,93,24,9
伊拉克,03.13,83,24,8
伊拉克,03.12,73,15,8
伊拉克,03.11,67,9,7
伊拉克,03.10,67,9,7
伊拉克,03.09,61,0,6
伊拉克,03.08,54,0,4
伊拉克,03.07,46,0,4
伊拉克,03.06,38,0,1
伊拉克,03.05,31,0,1
伊拉克,03.04,31,0,1
伊拉克,03.03,26,0,0
伊拉克,03.02,21,0,0
伊拉克,03.01,13,0,0
伊拉克,02.29,8,0,0
伊拉克,02.28,7,0,0
伊拉克,02.27,6,0,0
伊拉克,02.26,5,0,0
伊拉克,02.25,4,0,0
伊拉克,02.24,1,0,0
伊拉克,02.23,1,0,0
俄罗斯,06.15,536484,284021,7081
俄罗斯,06.14,528267,279536,6938
俄罗斯,06.13,520129,274128,6829
俄罗斯,06.12,511423,268862,6715
