日期,累计确诊,累计死亡,累计治愈
06.14,7853585,428270,4000163
06.13,7725433,424360,3919860
06.12,7586346,420080,3815625
06.11,7449168,415238,3738711
06.10,7311052,409918,3643040
06.09,7185633,404843,3551411
06.08,7082354,406920,3411308
06.07,6969996,398250,3355407
06.06,6841733,394661,3282457
06.05,6691641,389479,3130701
06.04,6558366,383957,3064316
06.03,6431565,378542,2933380
06.02,6319527,373507,2848822
06.01,6211583,369771,2785819
05.31,6106218,366969,2741619
05.30,5972870,362760,2683227
05.29,5855656,359909,2614549
05.28,5733134,355020,2555873
05.27,5629196,350321,2499801
05.26,5537574,346163,2450945
05.25,5446992,342871,2391653
05.24,5351639,340121,2257719
05.23,5252242,336253,2216785
05.22,5138477,331122,2157573
05.21,5040791,326826,2114144
05.20,4933688,321978,2061711
05.19,4840942,317080,2012022
05.18,4744732,313411,1965148
05.17,4665427,310135,1928394
05.16,4578991,306352,1891788
05.15,4475278,300895,1844911
05.14,4385659,297024,1811897
05.13,4293106,291345,1767872
05.12,4211074,286056,1730489
05.11,4135925,281990,1695350
05.10,4052316,278504,1379400
05.09,3962657,274512,1326167
05.08,3867324,268913,1280927
05.07,3768951,263678,1237333
05.06,3674400,258087,1179558
05.05,3589192,248860,1131434
05.04,3509329,244698,1088011
05.03,3425906,241091,1054500
05.02,3344975,236196,1021278
05.01,3252239,230689,978323
04.30,3166741,224872,945840
04.29,3083108,214928,905072
04.28,3008455,208316,861351
04.27,2941460,203691,817978
04.26,2857815,200076,771661
04.25,2757140,195424,731262
04.24,2686384,189732,689017
04.23,2583856,181700,660194
04.22,2511134,175311,629695
04.21,2418190,167446,582738
04.20,2345866,162512,560236
04.19,2282888,157613,532077
04.18,2190835,151486,509185
04.17,2104355,142992,489270
04.16,2017941,135983,448883
04.15,1930575,126098,424454
04.14,1865481,118514,388417
04.13,1788665,112742,365733
04.12,1716536,107485,340959
04.11,1638858,101510,311781
04.10,1538604,93897,287690
04.09,1453582,86588,262071
04.08,1371325,80203,230636
04.07,1284860,73877,215003
04.06,1206423,67098,198970
04.05,1140084,62973,175967
04.04,1052617,57138,151369
04.03,954181,51227,138417
04.02,880749,45634,121832
04.01,800802,40664,108205
03.31,724044,35972,96370
03.30,660402,31764,80616
03.29,600764,28741,69620
03.28,534118,25083,55450
03.27,466490,21827,51157
03.26,403771,18764,41139
03.25,353726,16242,30726
03.24,309971,13848,27762
03.23,265884,11960,26059
03.22,233471,10229,22451
03.21,202289,8576,20820
03.20,171616,7152,17295
03.19,142729,5942,15213
03.18,122276,4878,13291
03.17,104959,4214,11158
03.16,92752,3457,9533
03.15,80468,2870,8828
03.14,67677,2357,7507
03.13,57419,1928,6247
03.12,48251,1582,5511
03.11,40402,1227,5010
03.10,35417,947,4300
03.09,30590,764,3774
03.08,26834,560,2960
03.07,23089,452,2881
03.06,19750,364,1812
03.05,16121,293,1565
03.04,13824,221,1079
03.03,11985,185,879
03.02,9613,154,659
03.01,7723,119,442
02.29,6349,95,435
02.28,4942,79,295
02.27,3949,64,277
02.26,3093,53,230
02.25,2587,41,219
02.24,2222,21,191
02.23,1731,12,182
02.22,1492,8,172
02.21,1007,5,152
02.20,986,5,133
02.19,962,3,129
02.18,871,3,117
02.17,766,3,88
02.16,655,3,80
02.15,242,2,71
02.14,232,1,53
02.13,223,1,47
02.12,210,1,46
02.11,204,1,37
02.10,199,1,33
02.09,191,1,28
02.08,183,1,22
02.07,159,1,19
02.06,154,1,19
02.05,145,1,17
02.04,136,1,16
02.03,116,1,13
02.02,111,1,12
02.01,102,0,12
01.31,93,0,10
01.30,75,0,7
01.29,60,0,5
01.28,46,0,5
01.27,35,0,0
01.26,30,0,0
01.25,23,0,0
01.24,11,0,0
01.23,7,0,0
01.22,5,0,0
